name,first_name,last_name,birth_city,birth_state,birth_country,birth_date,college,draft_team,draft_round,draft_pick,draft_year,position,height_feet,height_inches,height
Mario Williams,Mario,Williams,Richlands,NC,USA,1/31/1985,North Carolina St.,Houston Texans,1st,1,2006,DE,6,6,6-6
Reggie Bush,Reggie,Bush,Spring Valley,CA,USA,3/2/1985,USC,New Orleans Saints,1st,2,2006,RB,6,0,6-0
Vince Young,Vince,Young,Houston,TX,USA,5/18/1983,Texas,Tennessee Titans,1st,3,2006,QB,6,5,6-5
D'Brickashaw Ferguson,DBrickashaw,Ferguson,New York,NY,USA,12/10/1983,Virginia,New York Jets,1st,4,2006,T,6,5,6-5
A.J. Hawk,AJ,Hawk,Centerville,OH,USA,1/6/1984,Ohio St.,Green Bay Packers,1st,5,2006,LB,6,1,6-1
Vernon Davis,Vernon,Davis,Washington,DC,USA,1/31/1984,Maryland,San Francisco 49ers,1st,6,2006,TE,6,3,6-3
Michael Huff,Michael,Huff,Irving,TX,USA,3/6/1983,Texas,Oakland Raiders,1st,7,2006,DB,6,0,6-0
Donte Whitner,Donte,Whitner,Cleveland,OH,USA,7/24/1985,Ohio St.,Buffalo Bills,1st,8,2006,DB,5,11,5-11
Ernie Sims,Ernie,Sims,Tallahassee,FL,USA,12/23/1984,Florida St.,Detroit Lions,1st,9,2006,LB,6,0,6-0
Matt Leinart,Matt,Leinart,Santa Ana,CA,USA,5/11/1983,USC,Arizona Cardinals,1st,10,2006,QB,6,5,6-5
Jay Cutler,Jay,Cutler,Santa Claus,IN,USA,4/29/1983,Vanderbilt,Denver Broncos,1st,11,2006,QB,6,3,6-3
Haloti Ngata,Haloti,Ngata,Inglewood,CA,USA,1/21/1984,Oregon,Baltimore Ravens,1st,12,2006,DT,6,4,6-4
Kamerion Wimbley,Kamerion,Wimbley,Wichita,KS,USA,10/13/1983,Florida St.,Cleveland Browns,1st,13,2006,DE,6,3,6-3
Brodrick Bunkley,Brodrick,Bunkley,Tampa,FL,USA,11/23/1983,Florida St.,Philadelphia Eagles,1st,14,2006,DT,6,2,6-2
Tye Hill,Tye,Hill,St. George,SC,USA,6/3/1982,Clemson,St. Louis Rams,1st,15,2006,DB,5,9,5-9
Jason Allen,Jason,Allen,Muscle Shoals,AL,USA,7/5/1983,Tennessee,Miami Dolphins,1st,16,2006,DB,6,2,6-2
Chad Greenway,Chad,Greenway,Mount Vernon,SD,USA,1/12/1983,Iowa,Minnesota Vikings,1st,17,2006,LB,6,2,6-2
Bobby Carpenter,Bobby,Carpenter,Lancaster,OH,USA,8/1/1983,Ohio St.,Dallas Cowboys,1st,18,2006,LB,6,3,6-3
Antonio Cromartie,Antonio,Cromartie,Tallahassee,FL,USA,4/15/1984,Florida St.,San Diego Chargers,1st,19,2006,DB,6,2,6-2
Tamba Hali,Tamba,Hali,Gbanga,,Liberia,11/3/1983,Penn St.,Kansas City Chiefs,1st,20,2006,DE,6,2,6-2
Laurence Maroney,Laurence,Maroney,St. Louis,MO,USA,2/5/1985,Minnesota,New England Patriots,1st,21,2006,RB,5,11,5-11
Manny Lawson,Manny,Lawson,Goldsboro,NC,USA,7/3/1984,North Carolina St.,San Francisco 49ers,1st,22,2006,DE,6,5,6-5
Davin Joseph,Davin,Joseph,Hallandale,FL,USA,11/22/1983,Oklahoma,Tampa Bay Buccaneers,1st,23,2006,G,6,2,6-2
Johnathan Joseph,Johnathan,Joseph,Rock Hill,SC,USA,4/16/1984,South Carolina,Cincinnati Bengals,1st,24,2006,DB,5,11,5-11
Santonio Holmes,Santonio,Holmes,Belle Glade,FL,USA,3/3/1984,Ohio St.,Pittsburgh Steelers,1st,25,2006,WR,5,10,5-10
John McCargo,John,McCargo,Drake's Branch,VA,USA,8/19/1983,North Carolina St.,Buffalo Bills,1st,26,2006,DT,6,2,6-2
DeAngelo Williams,DeAngelo,Williams,Little Rock,AR,USA,4/25/1983,Memphis,Carolina Panthers,1st,27,2006,RB,5,8,5-8
Marcedes Lewis,Marcedes,Lewis,Long Beach,CA,USA,5/19/1984,UCLA,Jacksonville Jaguars,1st,28,2006,TE,6,6,6-6
Nick Mangold,Nick,Mangold,Centerville,OH,USA,1/13/1984,Ohio St.,New York Jets,1st,29,2006,C,6,3,6-3
Joseph Addai,Joseph,Addai,Houston,TX,USA,5/3/1983,LSU,Indianapolis Colts,1st,30,2006,RB,5,11,5-11
Kelly Jennings,Kelly,Jennings,Live Oak,FL,USA,11/30/1982,Miami (FL),Seattle Seahawks,1st,31,2006,DB,5,11,5-11
Mathias Kiwanuka,Mathias,Kiwanuka,,,,3/8/1983,Boston Col.,New York Giants,1st,32,2006,DE,6,5,6-5
DeMeco Ryans,DeMeco,Ryans,Bessemer,AL,USA,7/28/1984,Alabama,Houston Texans,2nd,33,2006,LB,6,1,6-1
D'Qwell Jackson,DQwell,Jackson,Largo,FL,USA,9/26/1983,Maryland,Cleveland Browns,2nd,34,2006,LB,6,0,6-0
Rocky McIntosh,Rocky,McIntosh,Gaffney,SC,USA,11/15/1982,Miami (FL),Washington Redskins,2nd,35,2006,LB,6,2,6-2
Chad Jackson,Chad,Jackson,Birmingham,AL,USA,3/6/1985,Florida,New England Patriots,2nd,36,2006,WR,6,1,6-1
Jimmy F. Williams,Jimmy,Williams,Hampton,VA,USA,3/8/1984,Virginia Tech,Atlanta Falcons,2nd,37,2006,DB,6,2,6-2
Thomas Howard,Thomas,Howard,Lubbock,TX,USA,7/14/1983,Texas-El Paso,Oakland Raiders,2nd,38,2006,LB,6,3,6-3
Winston Justice,Winston,Justice,Long Beach,CA,USA,9/14/1984,USC,Philadelphia Eagles,2nd,39,2006,T,6,5,6-5
Daniel Bullocks,Daniel,Bullocks,Chattanooga,TN,USA,2/28/1983,Nebraska,Detroit Lions,2nd,40,2006,DB,6,0,6-0
Deuce Lutui,Deuce,Lutui,Hai'api,,Tonga,5/5/1983,USC,Arizona Cardinals,2nd,41,2006,G,6,3,6-3
Danieal Manning,Danieal,Manning,Corsicana,TX,USA,8/9/1982,Abilene Christian,Chicago Bears,2nd,42,2006,DB,6,0,6-0
Roman Harper,Roman,Harper,Prattville,AL,USA,12/11/1982,Alabama,New Orleans Saints,2nd,43,2006,DB,6,0,6-0
Sinorice Moss,Sinorice,Moss,Miami,FL,USA,12/28/1983,Miami (FL),New York Giants,2nd,44,2006,WR,5,8,5-8
LenDale White,LenDale,White,Denver,CO,USA,12/20/1984,USC,Tennessee Titans,2nd,45,2006,RB,6,2,6-2
Joe Klopfenstein,Joe,Klopfenstein,Denver,CO,USA,11/9/1983,Colorado,St. Louis Rams,2nd,46,2006,TE,6,5,6-5
Daryn Colledge,Daryn,Colledge,North Pole,AK,USA,8/28/1981,Boise St.,Green Bay Packers,2nd,47,2006,T,6,4,6-4
Cedric Griffin,Cedric,Griffin,Natchez,MS,USA,11/11/1982,Texas,Minnesota Vikings,2nd,48,2006,DB,6,0,6-0
Kellen Clemens,Kellen,Clemens,Burns,OR,USA,6/6/1983,Oregon,New York Jets,2nd,49,2006,QB,6,2,6-2
Marcus McNeill,Marcus,McNeill,Ellenwood,GA,USA,11/16/1983,Auburn,San Diego Chargers,2nd,50,2006,T,6,8,6-8
Ryan Cook,Ryan,Cook,Albuquerque,NM,USA,5/8/1983,New Mexico,Minnesota Vikings,2nd,51,2006,C,6,6,6-6
Greg Jennings,Greg,Jennings,Kalamazoo,MI,USA,9/21/1983,West. Michigan,Green Bay Packers,2nd,52,2006,WR,5,11,5-11
Anthony Fasano,Anthony,Fasano,Glen Ridge,NJ,USA,4/20/1984,Notre Dame,Dallas Cowboys,2nd,53,2006,TE,6,4,6-4
Bernard Pollard,Bernard,Pollard,Fort Wayne,IN,USA,12/23/1984,Purdue,Kansas City Chiefs,2nd,54,2006,DB,6,2,6-2
Andrew Whitworth,Andrew,Whitworth,Monroe,LA,USA,12/12/1981,LSU,Cincinnati Bengals,2nd,55,2006,T,6,7,6-7
Chris Chester,Chris,Chester,Tustin,CA,USA,1/12/1983,Oklahoma,Baltimore Ravens,2nd,56,2006,G,6,3,6-3
Devin Hester,Devin,Hester,Riviera Beach,FL,USA,11/4/1982,Miami (FL),Chicago Bears,2nd,57,2006,DB,5,10,5-10
Richard Marshall,Richard,Marshall,Los Angeles,CA,USA,12/12/1984,Fresno St.,Carolina Panthers,2nd,58,2006,DB,5,11,5-11
Jeremy Trueblood,Jeremy,Trueblood,Indianapolis,IN,USA,5/10/1983,Boston Col.,Tampa Bay Buccaneers,2nd,59,2006,T,6,8,6-8
Maurice Jones-Drew,Maurice,Jones-Drew,Pinole,CA,USA,3/23/1985,UCLA,Jacksonville Jaguars,2nd,60,2006,RB,5,8,5-8
