,Player,tackleSolo,tackleAst,tackleTot,tackleLoss,Sk,defInt,defYds,defAvg,defIntTD,defIntPD,fumFR,fumYds,fumTD,fumFF
0,AJ Hawk,69.0,52.0,121.0,16.5,9.5,7.0,123.0,17.6,1.0,,,,,
1,AJ Nicholson,53.0,47.0,100.0,9.5,1.0,3.0,59.0,19.7,1.0,,1.0,23.0,1.0,
2,Aaron Merz,1.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
3,Abdul Hodge,96.0,62.0,158.0,11.0,1.0,,,,,0.0,1.0,47.0,0.0,3.0
4,Alan Zemaitis,37.0,14.0,51.0,2.5,0.0,12.0,269.0,22.4,1.0,,,51.0,2.0,
5,Anthony Cannon,65.0,49.0,114.0,12.5,2.5,1.0,16.0,16.0,0.0,,,,,
6,Anthony Montgomery,25.0,20.0,45.0,6.0,3.0,2.0,3.0,1.5,0.0,,,,,
7,Anthony Smith,50.0,21.0,71.0,5.0,3.0,14.0,172.0,12.3,1.0,,1.0,3.0,0.0,
8,Ashton Youboty,42.0,14.0,56.0,6.0,1.0,5.0,77.0,15.4,0.0,,,0.0,1.0,
9,Barry Cofield,23.0,39.0,62.0,6.5,2.0,1.0,16.0,16.0,0.0,,,,,
10,Bernard Pollard,64.0,28.0,92.0,1.5,0.0,4.0,19.0,4.8,0.0,,,,,
11,Bobby Carpenter,33.0,16.0,49.0,10.5,8.0,3.0,13.0,4.3,0.0,2.0,0.0,0.0,0.0,0.0
12,Brad Butler,1.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
13,Brandon Johnson,45.0,28.0,73.0,8.5,2.0,4.0,74.0,18.5,1.0,,1.0,20.0,1.0,
14,Brodrick Bunkley,39.0,27.0,66.0,25.0,9.0,,,,,0.0,0.0,0.0,0.0,0.0
15,Calvin Lowry,48.0,31.0,79.0,1.5,1.0,9.0,110.0,12.2,0.0,,,,,
16,Cedric Griffin,44.0,27.0,71.0,0.0,0.0,3.0,29.0,9.7,0.0,,0.0,0.0,1.0,
17,Chad Greenway,92.0,64.0,156.0,10.0,2.0,4.0,70.0,17.5,1.0,,,,,
18,Charles Bennett,29.0,14.0,43.0,14.5,4.0,3.0,48.0,16.0,0.0,,,,,
19,Charlie Peprah,28.0,15.0,43.0,3.0,0.0,9.0,214.0,23.8,1.0,5.0,1.0,0.0,0.0,2.0
20,Chase Page,11.0,16.0,27.0,6.5,4.0,,,,,2.0,0.0,0.0,0.0,0.0
21,Claude Wroten,17.0,27.0,44.0,10.5,4.5,,,,,2.0,0.0,0.0,0.0,0.0
22,Clint Ingram,35.0,26.0,61.0,10.5,5.0,5.0,63.0,12.6,1.0,,,,,
23,DQwell Jackson,56.0,81.0,137.0,6.5,4.0,6.0,116.0,19.3,1.0,,,,,
24,Daniel Bullocks,46.0,37.0,83.0,4.0,0.0,8.0,210.0,26.3,0.0,,,40.0,2.0,
25,Darnell Bing,36.0,14.0,50.0,2.5,0.0,8.0,161.0,20.1,1.0,,,,,
26,Darryl Tapp,27.0,21.0,48.0,14.5,10.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0
27,Davin Joseph,1.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
28,Dawan Landry,53.0,23.0,76.0,3.5,0.0,7.0,38.0,5.4,0.0,,,,,
29,DeMario Minter,38.0,10.0,48.0,3.0,0.0,2.0,0.0,0.0,0.0,,,,,
30,DeMeco Ryans,41.0,35.0,76.0,11.5,5.0,2.0,7.0,3.5,0.0,,,,,
31,Dee McCann,35.0,23.0,58.0,2.5,0.0,7.0,9.0,1.3,0.0,,,,,
32,Derrick Martin,32.0,15.0,47.0,3.5,1.0,6.0,49.0,8.2,1.0,,,,,
33,Domata Peko,33.0,20.0,53.0,2.5,1.0,,,,,1.0,1.0,74.0,1.0,1.0
34,Donte Whitner,56.0,17.0,73.0,9.0,4.0,5.0,62.0,12.4,1.0,,,,,
35,Drew Coleman,31.0,5.0,36.0,0.0,0.0,5.0,90.0,18.0,0.0,,,,,
36,Dusty Dvoracek,17.0,22.0,39.0,13.5,4.0,1.0,6.0,6.0,0.0,,,,,
37,EJ Whitley,1.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
38,Elvis Dumervil,36.0,27.0,63.0,22.0,20.0,1.0,9.0,9.0,0.0,,,,,
39,Ernie Sims,22.0,50.0,72.0,10.0,2.5,2.0,3.0,1.5,0.0,,0.0,0.0,0.0,
