,Player,recRec,recYds,recAvg,recTD,rushAtt,rushYds,rushAvg,rushTD,scrPlays,scrYds,scrAvg,scrTD
0,Anthony Fasano,92,1112,12.1,8,,,,,92,1112,12.1,8
1,Ben Obomanu,97,1313,13.5,18,8.0,154.0,19.3,2.0,105,1467,14.0,20
2,Bennie Brazell,17,340,20.0,3,,,,,17,340,20.0,3
3,Brandon Marshall,112,1674,14.9,13,3.0,5.0,1.7,0.0,115,1679,14.6,13
4,Chad Jackson,120,1586,13.2,16,17.0,90.0,5.3,2.0,137,1676,12.2,18
5,Charles Davis,78,865,11.1,4,,,,,78,865,11.1,4
6,Cory Rodgers,150,2111,14.1,17,46.0,115.0,2.5,10.0,196,2226,11.4,27
7,David Anderson,223,3634,16.3,20,4.0,18.0,4.5,0.0,227,3652,16.1,20
8,David Thomas,98,1367,13.9,15,,,,,98,1367,13.9,15
9,Demetrius Williams,162,2660,16.4,20,12.0,76.0,6.3,1.0,174,2736,15.7,21
10,Derek Hagan,258,3939,15.3,27,,,,,258,3939,15.3,27
11,Devin Aromashodu,71,1333,18.8,9,1.0,6.0,6.0,0.0,72,1339,18.6,9
12,Domenik Hixon,141,2092,14.8,14,1.0,24.0,24.0,0.0,142,2116,14.9,14
13,Dominique Byrd,81,968,12.0,4,1.0,1.0,1.0,0.0,82,969,11.8,4
14,Greg Jennings,238,3539,14.9,39,18.0,92.0,5.1,0.0,256,3631,14.2,39
15,Jason Avant,169,2247,13.3,13,,,,,169,2247,13.3,13
16,Jason Pociask,12,144,12.0,0,,,,,12,144,12.0,0
17,Jeff King,58,724,12.5,12,,,,,58,724,12.5,12
18,Jeff Webb,40,672,16.8,1,6.0,42.0,7.0,0.0,46,714,15.5,1
19,Joe Klopfenstein,86,1076,12.5,13,,,,,86,1076,12.5,13
20,Jonathan Orr,107,1824,17.0,19,,,,,107,1824,17.0,19
21,Leonard Pope,65,1044,16.1,10,,,,,65,1044,16.1,10
22,Marcedes Lewis,126,1571,12.5,21,,,,,126,1571,12.5,21
23,Maurice Stovall,130,2195,16.9,18,2.0,1.0,0.5,0.0,132,2196,16.6,18
24,Mike Hass,220,3924,17.8,20,2.0,18.0,9.0,0.0,222,3942,17.8,20
25,Owen Daniels,62,852,13.7,8,4.0,18.0,4.5,0.0,66,870,13.2,8
26,Quinn Sypniewski,44,563,12.8,5,,,,,44,563,12.8,5
27,Santonio Holmes,140,2295,16.4,25,3.0,18.0,6.0,0.0,143,2313,16.2,25
28,Sinorice Moss,68,1106,16.3,9,9.0,59.0,6.6,0.0,77,1165,15.1,9
29,Skyler Green,111,1129,10.2,9,31.0,258.0,8.3,1.0,142,1387,9.8,10
30,TJ Williams,26,297,11.4,3,1.0,7.0,7.0,0.0,27,304,11.3,3
31,Tim Massaquoi,46,489,10.6,2,,,,,46,489,10.6,2
32,Todd Watkins,101,1720,17.0,15,1.0,-4.0,-4.0,0.0,102,1716,16.8,15
33,Tony Scheffler,117,1345,11.5,13,,,,,117,1345,11.5,13
34,Travis Wilson,30,163,5.4,1,7.0,95.0,13.6,1.0,37,258,7.0,2
35,Vernon Davis,83,1371,16.5,9,2.0,5.0,2.5,0.0,85,1376,16.2,9
36,Willie Reid,91,1046,11.5,3,63.0,309.0,4.9,3.0,154,1355,8.8,6
