Round,Pick,Team,Player,First,Last,Position,Age,Until,AP1,PB,YearsStarter,CareerAverage,DraftAverage,Games,PassComp,PassAtt,PassYards,PassTDs,Int,RushAtt,RushYards,RushTDs,Rec,RecYards,RecTDs,TackleSolo,DefensiveInt,Sacks,College
1,1,HOU,Mario Williams,Mario,Williams,DE,21,2016,1,4,9,76,34,158,0,0,0,0,0,0,0,0,0,0,0,317,0,97.5,North Carolina St.
1,2,NOR,Reggie Bush,Reggie,Bush,RB,21,2016,0,0,6,61,33,134,0,1,0,0,1,1286,5490,36,477,3598,18,0,0,0,USC
1,3,TEN,Vince Young,Vince,Young,QB,23,2011,0,2,4,33,31,60,755,1304,8964,46,51,282,1459,12,0,0,0,0,0,0,Texas
1,4,NYJ,DBrickashaw Ferguson,DBrickashaw,Ferguson,T,22,2015,0,3,10,61,61,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Virginia
1,5,GNB,AJ Hawk,AJ,Hawk,LB,22,2016,0,0,10,59,56,159,0,0,0,0,0,0,0,0,0,0,0,645,9,20,Ohio St.
1,6,SFO,Vernon Davis,Vernon,Davis,TE,22,2019,0,2,11,51,41,198,0,0,0,0,0,6,15,0,583,7562,63,0,0,0,Maryland
1,7,OAK,Michael Huff,Michael,Huff,DB,23,2013,0,0,6,33,33,118,0,0,0,0,0,0,0,0,0,0,0,371,11,5.5,Texas
1,8,BUF,Donte Whitner,Donte,Whitner,DB,21,2016,0,2,9,48,18,157,0,0,0,0,0,0,0,0,0,0,0,668,11,3,Ohio St.
1,9,DET,Ernie Sims,Ernie,Sims,LB,21,2013,0,0,5,30,19,109,0,0,0,0,0,0,0,0,0,0,0,420,1,5.5,Florida St.
1,10,ARI,Matt Leinart,Matt,Leinart,QB,23,2012,0,0,1,12,12,33,366,641,4065,15,21,47,89,2,0,0,0,0,0,0,USC
1,11,DEN,Jay Cutler,Jay,Cutler,QB,23,2017,0,1,10,87,28,153,3048,4920,35133,227,160,386,1682,9,0,0,0,1,0,0,Vanderbilt
1,12,BAL,Haloti Ngata,Haloti,Ngata,DT,22,2018,2,5,12,99,91,180,0,0,0,0,0,0,0,0,0,0,0,329,5,32.5,Oregon
1,13,CLE,Kamerion Wimbley,Kamerion,Wimbley,DE,22,2014,0,0,8,44,23,140,0,0,0,0,0,0,0,0,0,0,0,322,2,53.5,Florida St.
1,14,PHI,Brodrick Bunkley,Brodrick,Bunkley,DT,22,2014,0,0,7,41,26,130,0,0,0,0,0,0,0,0,0,0,0,171,0,8.5,Florida St.
1,15,STL,Tye Hill,Tye,Hill,DB,24,2010,0,0,0,9,7,40,0,0,0,0,0,0,0,0,0,0,0,117,5,0,Clemson
1,16,MIA,Jason Allen,Jason,Allen,DB,23,2012,0,0,1,13,9,98,0,0,0,0,0,0,0,0,0,0,0,213,15,0,Tennessee
1,17,MIN,Chad Greenway,Chad,Greenway,LB,23,2016,0,2,10,64,64,156,0,0,0,0,0,0,0,0,0,0,0,762,11,18,Iowa
1,18,DAL,Bobby Carpenter,Bobby,Carpenter,LB,23,2012,0,0,0,10,5,93,0,0,0,0,0,0,0,0,0,0,0,126,1,3.5,Ohio St.
1,19,SDG,Antonio Cromartie,Antonio,Cromartie,DB,22,2016,1,4,8,61,22,162,0,0,0,0,0,1,1,0,1,-2,0,376,31,0,Florida St.
1,20,KAN,Tamba Hali,Tamba,Hali,DE,22,2017,0,5,10,77,77,177,0,0,0,0,0,0,0,0,0,0,0,460,2,89.5,Penn St.
1,21,NWE,Laurence Maroney,Laurence,Maroney,RB,21,2010,0,0,0,26,25,49,0,0,0,0,0,618,2504,21,44,459,1,1,0,0,Minnesota
1,22,SFO,Manny Lawson,Manny,Lawson,DE,22,2015,0,0,7,46,23,143,0,0,0,0,0,0,0,0,0,0,0,352,4,24.5,North Carolina St.
1,23,TAM,Davin Joseph,Davin,Joseph,G,22,2014,0,2,8,42,37,116,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Oklahoma
1,24,CIN,Johnathan Joseph,Johnathan,Joseph,DB,22,2019,0,2,13,66,17,200,0,0,0,0,0,0,0,0,0,0,0,642,31,0,South Carolina
1,25,PIT,Santonio Holmes,Santonio,Holmes,WR,22,2014,0,0,6,47,35,112,0,1,0,0,0,16,89,0,389,6030,36,0,0,0,Ohio St.
1,26,BUF,John McCargo,John,McCargo,DT,23,2011,0,0,0,3,3,44,0,0,0,0,0,0,0,0,0,0,0,35,0,2.5,North Carolina St.
1,27,CAR,DeAngelo Williams,DeAngelo,Williams,RB,23,2016,0,1,6,61,51,142,0,0,0,0,0,1730,8096,61,236,2106,9,1,0,0,Memphis
1,28,JAX,Marcedes Lewis,Marcedes,Lewis,TE,22,2019,0,1,12,33,33,202,0,0,0,0,0,0,0,0,393,4697,34,0,0,0,UCLA
1,29,NYJ,Nick Mangold,Nick,Mangold,C,22,2016,2,7,11,62,62,164,0,0,0,0,0,0,0,0,1,-3,0,1,0,0,Ohio St.
1,30,IND,Joseph Addai,Joseph,Addai,RB,23,2011,0,1,4,50,50,78,1,1,22,1,0,1095,4453,39,191,1448,9,0,0,0,LSU
1,31,SEA,Kelly Jennings,Kelly,Jennings,DB,23,2011,0,0,2,18,18,91,0,0,0,0,0,0,0,0,0,0,0,211,2,1,Miami (FL)
1,32,NYG,Mathias Kiwanuka,Mathias,Kiwanuka,DE,23,2014,0,0,6,36,36,120,0,0,0,0,0,0,0,0,0,0,0,301,3,38.5,Boston Col.
2,33,HOU,DeMeco Ryans,DeMeco,Ryans,LB,22,2015,0,2,9,57,38,140,0,0,0,0,0,0,0,0,0,0,0,735,7,13.5,Alabama
2,34,CLE,DQwell Jackson,DQwell,Jackson,LB,22,2016,0,1,9,63,40,141,0,0,0,0,0,0,0,0,0,0,0,754,9,19.5,Maryland
2,35,WAS,Rocky McIntosh,Rocky,McIntosh,LB,23,2013,0,0,6,38,33,124,0,0,0,0,0,0,0,0,0,0,0,371,4,9,Miami (FL)
2,36,NWE,Chad Jackson,Chad,Jackson,WR,21,2008,0,0,0,2,2,18,0,0,0,0,0,4,22,0,14,171,3,0,0,0,Florida
2,37,ATL,Jimmy Williams,Jimmy,Williams,DB,22,2007,0,0,0,4,4,27,0,0,0,0,0,0,0,0,0,0,0,41,1,0,Virginia Tech
2,38,OAK,Thomas Howard,Thomas,Howard,LB,23,2013,0,0,5,34,26,95,0,0,0,0,0,0,0,0,0,0,0,392,7,6,Texas-El Paso
2,39,PHI,Winston Justice,Winston,Justice,T,21,2013,0,0,3,23,17,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USC
2,40,DET,Daniel Bullocks,Daniel,Bullocks,DB,23,2008,0,0,1,7,7,31,0,0,0,0,0,0,0,0,0,0,0,119,0,1,Nebraska
2,41,ARI,Deuce Lutui,Deuce,Lutui,G,23,2012,0,0,6,32,30,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USC
2,42,CHI,Danieal Manning,Danieal,Manning,DB,24,2014,0,0,6,37,22,128,0,0,0,0,0,0,0,0,0,0,0,435,11,4,Abilene Christian
2,43,NOR,Roman Harper,Roman,Harper,DB,23,2016,0,2,8,48,37,156,0,0,0,0,0,0,0,0,0,0,0,641,11,18,Alabama
2,44,NYG,Sinorice Moss,Sinorice,Moss,WR,22,2009,0,0,0,4,4,37,0,0,0,0,0,1,4,0,39,421,3,2,0,0,Miami (FL)
2,45,TEN,LenDale White,LenDale,White,RB,21,2009,0,0,1,14,14,58,0,0,0,0,0,628,2349,24,42,204,0,0,0,0,USC
2,46,STL,Joe Klopfenstein,Joe,Klopfenstein,TE,22,2009,0,0,3,3,3,49,0,0,0,0,0,0,0,0,34,397,2,0,0,0,Colorado
2,47,GNB,Daryn Colledge,Daryn,Colledge,T,24,2014,0,0,9,54,36,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boise St.
