Round,Pick,Draft_Team_Abr,NFL_Draft_Team,Player_Name,First_Name,Last_Name,Height,Player_Birth_State_Abr,Player_Birth_State,Player_State_Lat,Player_State_Lon,Player_Birth_Country,NFL_Position,Age_Drafted,Played_Until,NFL_YearAs_A_Starter,NFL_Games_Played,NFL_Passing_Comp,NFL_Passing_Att,NFL_Passing_Yards,NFL_Passing_TDs,NFL_Passing_Int,NFL_Rushing_Att,NFL_Rushing_Yards,NFL_Rushing_TDs,NFL_Receptions,NFL_Receiving_Yards,NFL_Receiving_TDs,NFL_Tackles_Solo,NFL_Defensive_Ints,NFL_Sacks,College,College_Passing_Comp,College_Passing_Att,College_Passing_Pct,College_Passing_Yards,College_Passing_Y/A,College_Passing_AY/A,College_Passing_TDs,College_Passing_Int,College_Passer_Rating,College_Rushing_Att,College_Rushing_Yards,College_Rushing_Avg,College_Rushing_TDs,College_Receptions,College_Receiving_Yards,College_Receiving_Avg,College_Receiving_TDs,College_Scrimmage_Plays,College_Scrimmage_Yards,College_Scrimmage_Avg,College_Scrimmage_TDs,College_Punts,College_Punting_Yards,College_Punting_Avg,College_XPM,College_XPA,College_XP%,College_FGM,College_FGA,College_FG%,College_Kicking_Points,College_Tackles_Solo,College_Tackles_Ast,College_Tackles_Total,College_Tackles_For_A_Loss,College_Sacks,College_Defensive_Int,College_Defensive_Int_Yards,College_Defensive_Avg,College Defensive_Int_TDs,College_Defensive_Int_PD,College_Defensive_Fumbles_Recovered,College_Defensive_Fumble_Yards,College_Defensive_Fumble_TDs,College_Defensive_Forced_Fumbles
1,1,HOU,Houston Texans,Mario Williams,Mario,Williams,6-6,NC,North Carolina,35.782169,-80.793457,USA,DE,21,2016,9,158,0,0,0,0,0,0,0,0,0,0,0,317,0,97.5,North Carolina St.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,30,62,24,14.5,0,0,0,0,0,0,0,0,0
1,2,NOR,New Orleans Saints,Reggie Bush,Reggie,Bush,6-0,CA,California,36.778259,-119.417931,USA,RB,21,2016,6,134,0,1,0,0,1,1286,5490,36,477,3598,18,0,0,0,USC,0,0,0,0,0,0,0,0,0,433,3169,7.3,25,95,1301,13.7,13,528,4470,8.5,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,TEN,Tennessee Titans,Vince Young,Vince,Young,6-5,TX,Texas,31,-100,USA,QB,23,2011,4,60,755,1304,8964,46,51,282,1459,12,0,0,0,0,0,0,Texas,444,718,61.8,6040,8.4,7.9,44,28,144.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,NYJ,New York Jets,DBrickashaw Ferguson,DBrickashaw,Ferguson,6-5,NY,New York,43,-75,USA,T,22,2015,10,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Virginia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,GNB,Green Bay Packers,AJ Hawk,AJ,Hawk,6-1,OH,Ohio,40.367474,-82.996216,USA,LB,22,2016,10,159,0,0,0,0,0,0,0,0,0,0,0,645,9,20,Ohio St.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,52,121,16.5,9.5,7,123,17.6,1,0,0,0,0,0
1,6,SFO,San Francisco 49ers,Vernon Davis,Vernon,Davis,6-3,DC,Disctrict of Columbia,38.9072,-77.0369,USA,TE,22,2019,11,198,0,0,0,0,0,6,15,0,583,7562,63,0,0,0,Maryland,0,0,0,0,0,0,0,0,0,2,5,2.5,0,83,1371,16.5,9,85,1376,16.2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,OAK,Oakland Raiders,Michael Huff,Michael,Huff,6-0,TX,Texas,31,-100,USA,DB,23,2013,6,118,0,0,0,0,0,0,0,0,0,0,0,371,11,5.5,Texas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,43,87,9,2,7,162,23.1,4,0,0,21,1,0
1,8,BUF,Buffalo Bills,Donte Whitner,Donte,Whitner,5-11,OH,Ohio,40.367474,-82.996216,USA,DB,21,2016,9,157,0,0,0,0,0,0,0,0,0,0,0,668,11,3,Ohio St.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,17,73,9,4,5,62,12.4,1,0,0,0,0,0
1,9,DET,Detroit Lions,Ernie Sims,Ernie,Sims,6-0,FL,Florida,27.994402,-81.760254,USA,LB,21,2013,5,109,0,0,0,0,0,0,0,0,0,0,0,420,1,5.5,Florida St.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,50,72,10,2.5,2,3,1.5,0,0,0,0,0,0
1,10,ARI,Arizona Cardinals,Matt Leinart,Matt,Leinart,6-5,CA,California,36.778259,-119.417931,USA,QB,23,2012,1,33,366,641,4065,15,21,47,89,2,0,0,0,0,0,0,USC,807,1245,64.8,10693,8.6,9.3,99,23,159.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11,DEN,Denver Broncos,Jay Cutler,Jay,Cutler,6-3,IN,Indiana,40.273502,-86.126976,USA,QB,23,2017,10,153,3048,4920,35133,227,160,386,1682,9,0,0,0,1,0,0,Vanderbilt,710,1242,57.2,8697,7,6.6,59,36,125.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,BAL,Baltimore Ravens,Haloti Ngata,Haloti,Ngata,6-4,CA,California,36.778259,-119.417931,USA,DT,22,2018,12,180,0,0,0,0,0,0,0,0,0,0,0,329,5,32.5,Oregon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,29,61,9,3,0,0,0,0,0,0,0,0,0
1,13,CLE,Cleveland Browns,Kamerion Wimbley,Kamerion,Wimbley,6-3,KS,Kansas,38.5,-98,USA,DE,22,2014,8,140,0,0,0,0,0,0,0,0,0,0,0,322,2,53.5,Florida St.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0
1,14,PHI,Philadelphia Eagles,Brodrick Bunkley,Brodrick,Bunkley,6-2,FL,Florida,27.994402,-81.760254,USA,DT,22,2014,7,130,0,0,0,0,0,0,0,0,0,0,0,171,0,8.5,Florida St.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,27,66,25,9,0,0,0,0,0,0,0,0,0
1,15,STL,St. Louis Rams,Tye Hill,Tye,Hill,5-9,SC,South Carolina,33.836082,-81.163727,USA,DB,24,2010,0,40,0,0,0,0,0,0,0,0,0,0,0,117,5,0,Clemson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,8,43,4,0,5,33,6.6,0,0,0,0,0,0
1,16,MIA,Miami Dolphins,Jason Allen,Jason,Allen,6-2,AL,Alabama,32.31823,-86.902298,USA,DB,23,2012,1,98,0,0,0,0,0,0,0,0,0,0,0,213,15,0,Tennessee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,29,10,7,0,0,0,0,2,0,0,0,1
1,17,MIN,Minnesota Vikings,Chad Greenway,Chad,Greenway,6-2,SD,South Dakota,44.5,-100,USA,LB,23,2016,10,156,0,0,0,0,0,0,0,0,0,0,0,762,11,18,Iowa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,64,156,10,2,4,70,17.5,1,0,0,0,0,0
1,18,DAL,Dallas Cowboys,Bobby Carpenter,Bobby,Carpenter,6-3,OH,Ohio,40.367474,-82.996216,USA,LB,23,2012,0,93,0,0,0,0,0,0,0,0,0,0,0,126,1,3.5,Ohio St.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,16,49,10.5,8,3,13,4.3,0,2,0,0,0,0
1,19,SDG,San Diego Chargers,Antonio Cromartie,Antonio,Cromartie,6-2,FL,Florida,27.994402,-81.760254,USA,DB,22,2016,8,162,0,0,0,0,0,1,1,0,1,-2,0,376,31,0,Florida St.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,20,KAN,Kansas City Chiefs,Tamba Hali,Tamba,Hali,6-2,,,,,Liberia,DE,22,2017,10,177,0,0,0,0,0,0,0,0,0,0,0,460,2,89.5,Penn St.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,38,65,17,11,1,5,5,0,4,0,0,0,1
1,21,NWE,New England Patriots,Laurence Maroney,Laurence,Maroney,5-11,MO,Missouri,38.573936,-92.60376,USA,RB,21,2010,0,49,0,0,0,0,0,618,2504,21,44,459,1,1,0,0,Minnesota,0,0,0,0,0,0,0,0,0,660,3933,6,32,21,197,9.4,1,681,4130,6.1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,22,SFO,San Francisco 49ers,Manny Lawson,Manny,Lawson,6-5,NC,North Carolina,35.782169,-80.793457,USA,DE,22,2015,7,143,0,0,0,0,0,0,0,0,0,0,0,352,4,24.5,North Carolina St.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,58,19.5,10.5,0,0,0,0,0,0,0,0,0
1,23,TAM,Tampa Bay Buccaneers,Davin Joseph,Davin,Joseph,6-2,FL,Florida,27.994402,-81.760254,USA,G,22,2014,8,116,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Oklahoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,24,CIN,Cincinnati Bengals,Johnathan Joseph,Johnathan,Joseph,5-11,SC,South Carolina,33.836082,-81.163727,USA,DB,22,2019,13,200,0,0,0,0,0,0,0,0,0,0,0,642,31,0,South Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,25,PIT,Pittsburgh Steelers,Santonio Holmes,Santonio,Holmes,5-10,FL,Florida,27.994402,-81.760254,USA,WR,22,2014,6,112,0,1,0,0,0,16,89,0,389,6030,36,0,0,0,Ohio St.,0,0,0,0,0,0,0,0,0,3,18,6,0,140,2295,16.4,25,143,2313,16.2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,26,BUF,Buffalo Bills,John McCargo,John,McCargo,6-2,VA,Virginia,37.926868,-78.024902,USA,DT,23,2011,0,44,0,0,0,0,0,0,0,0,0,0,0,35,0,2.5,North Carolina St.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,24,9,0.5,0,0,0,0,0,0,0,0,0
1,27,CAR,Carolina Panthers,DeAngelo Williams,DeAngelo,Williams,5-8,AR,Arkansas,34.799999,-92.199997,USA,RB,23,2016,6,142,0,0,0,0,0,1730,8096,61,236,2106,9,1,0,0,Memphis,0,0,0,0,0,0,0,0,0,969,6026,6.2,55,70,723,10.3,5,1039,6749,6.5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,28,JAX,Jacksonville Jaguars,Marcedes Lewis,Marcedes,Lewis,6-6,CA,California,36.778259,-119.417931,USA,TE,22,2019,12,202,0,0,0,0,0,0,0,0,393,4697,34,0,0,0,UCLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,29,NYJ,New York Jets,Nick Mangold,Nick,Mangold,6-3,OH,Ohio,40.367474,-82.996216,USA,C,22,2016,11,164,0,0,0,0,0,0,0,0,1,-3,0,1,0,0,Ohio St.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,30,IND,Indianapolis Colts,Joseph Addai,Joseph,Addai,5-11,TX,Texas,31,-100,USA,RB,23,2011,4,78,1,1,22,1,0,1095,4453,39,191,1448,9,0,0,0,LSU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,31,SEA,Seattle Seahawks,Kelly Jennings,Kelly,Jennings,5-11,FL,Florida,27.994402,-81.760254,USA,DB,23,2011,2,91,0,0,0,0,0,0,0,0,0,0,0,211,2,1,Miami (FL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,8,32,3,1,6,37,6.2,0,0,0,0,0,0
1,32,NYG,New York Giants,Mathias Kiwanuka,Mathias,Kiwanuka,6-5,,,,,,DE,23,2014,6,120,0,0,0,0,0,0,0,0,0,0,0,301,3,38.5,Boston Col.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,17,51,16.5,9.5,3,32,10.7,1,4,0,0,0,1
2,33,HOU,Houston Texans,DeMeco Ryans,DeMeco,Ryans,6-1,AL,Alabama,32.31823,-86.902298,USA,LB,22,2015,9,140,0,0,0,0,0,0,0,0,0,0,0,735,7,13.5,Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,35,76,11.5,5,2,7,3.5,0,0,0,0,0,0
2,34,CLE,Cleveland Browns,DQwell Jackson,DQwell,Jackson,6-0,FL,Florida,27.994402,-81.760254,USA,LB,22,2016,9,141,0,0,0,0,0,0,0,0,0,0,0,754,9,19.5,Maryland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,81,137,6.5,4,6,116,19.3,1,0,0,0,0,0
2,35,WAS,Washington Redskins,Rocky McIntosh,Rocky,McIntosh,6-2,SC,South Carolina,33.836082,-81.163727,USA,LB,23,2013,6,124,0,0,0,0,0,0,0,0,0,0,0,371,4,9,Miami (FL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,36,NWE,New England Patriots,Chad Jackson,Chad,Jackson,6-1,AL,Alabama,32.31823,-86.902298,USA,WR,21,2008,0,18,0,0,0,0,0,4,22,0,14,171,3,0,0,0,Florida,0,0,0,0,0,0,0,0,0,17,90,5.3,2,120,1586,13.2,16,137,1676,12.2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
